mode,resolution,p,processes,threads,triangles,occupied_voxels,tested_voxels,estimated_flops,load_seconds,voxel_seconds,estimated_flops_per_second,source
mpi,32,1,1,0,72,7148,18464,55392,0.185837,0.000050,1115739435.20,results/khipu-cpu-small/mpi_r32_p1_44621.txt
mpi,32,2,2,0,72,7148,18464,55392,0.010320,0.000107,518176205.35,results/khipu-cpu-small/mpi_r32_p2_44621.txt
mpi,32,4,4,0,72,7148,18464,55392,0.000425,0.000213,259781920.51,results/khipu-cpu-small/mpi_r32_p4_44621.txt
mpi,64,1,1,0,72,29608,70996,212988,0.000883,0.000141,1512043787.85,results/khipu-cpu-small/mpi_r64_p1_44621.txt
mpi,64,2,2,0,72,29608,70996,212988,0.000307,0.000226,941966299.59,results/khipu-cpu-small/mpi_r64_p2_44621.txt
mpi,64,4,4,0,72,29608,70996,212988,0.000945,0.000347,612985667.41,results/khipu-cpu-small/mpi_r64_p4_44621.txt
omp_atomic,32,1,1,1,72,7148,18464,55392,0.001213,0.000370,149576319.24,results/khipu-cpu-small/omp_atomic_r32_t1_44621.txt
omp_atomic,32,2,1,2,72,7148,18464,55392,0.001079,0.000238,233090110.33,results/khipu-cpu-small/omp_atomic_r32_t2_44621.txt
omp_atomic,32,4,1,4,72,7148,18464,55392,0.657243,0.022022,2515275.35,results/khipu-cpu-small/omp_atomic_r32_t4_44621.txt
omp_atomic,64,1,1,1,72,29608,70996,212988,0.000560,0.000517,411793024.65,results/khipu-cpu-small/omp_atomic_r64_t1_44621.txt
omp_atomic,64,2,1,2,72,29608,70996,212988,0.001207,0.000601,354502603.16,results/khipu-cpu-small/omp_atomic_r64_t2_44621.txt
omp_atomic,64,4,1,4,72,29608,70996,212988,0.000965,0.009065,23496840.10,results/khipu-cpu-small/omp_atomic_r64_t4_44621.txt
omp_private,32,1,1,1,72,7148,18464,55392,0.000918,0.000056,984081864.70,results/khipu-cpu-small/omp_private_r32_t1_44621.txt
omp_private,32,2,1,2,72,7148,18464,55392,0.000636,0.000138,400303523.04,results/khipu-cpu-small/omp_private_r32_t2_44621.txt
omp_private,32,4,1,4,72,7148,18464,55392,0.001070,0.035528,1559117.31,results/khipu-cpu-small/omp_private_r32_t4_44621.txt
omp_private,64,1,1,1,72,29608,70996,212988,0.000908,0.000164,1299016229.47,results/khipu-cpu-small/omp_private_r64_t1_44621.txt
omp_private,64,2,1,2,72,29608,70996,212988,0.001516,0.000470,453298089.02,results/khipu-cpu-small/omp_private_r64_t2_44621.txt
omp_private,64,4,1,4,72,29608,70996,212988,0.001347,0.042412,5021826.13,results/khipu-cpu-small/omp_private_r64_t4_44621.txt
