mode,resolution,p,median_voxel_seconds,speedup_vs_median_p1,efficiency,overhead_seconds,overhead_ratio,occupied_voxels,tested_voxels,samples
mpi,32,1,0.000133,1.000,1.000,0.000000,0.000,7148,18464,3
mpi,32,2,0.000245,0.543,0.271,0.000357,2.684,7148,18464,3
mpi,32,4,0.000124,1.073,0.268,0.000363,2.729,7148,18464,3
mpi,64,1,0.000568,1.000,1.000,0.000000,0.000,29608,70996,3
mpi,64,2,0.000687,0.827,0.413,0.000806,1.419,29608,70996,3
mpi,64,4,0.000511,1.112,0.278,0.001476,2.599,29608,70996,3
mpi,128,1,0.002703,1.000,1.000,0.000000,0.000,120534,277944,3
mpi,128,2,0.001755,1.540,0.770,0.000807,0.299,120534,277944,3
mpi,128,4,0.002288,1.181,0.295,0.006449,2.386,120534,277944,3
omp_atomic,32,1,0.000257,1.000,1.000,0.000000,0.000,7148,18464,3
omp_atomic,32,2,0.000305,0.843,0.421,0.000353,1.374,7148,18464,3
omp_atomic,32,4,0.000346,0.743,0.186,0.001127,4.385,7148,18464,3
omp_atomic,64,1,0.000660,1.000,1.000,0.000000,0.000,29608,70996,3
omp_atomic,64,2,0.000657,1.005,0.502,0.000654,0.991,29608,70996,3
omp_atomic,64,4,0.000532,1.241,0.310,0.001468,2.224,29608,70996,3
omp_atomic,128,1,0.003745,1.000,1.000,0.000000,0.000,120534,277944,3
omp_atomic,128,2,0.002837,1.320,0.660,0.001929,0.515,120534,277944,3
omp_atomic,128,4,0.002061,1.817,0.454,0.004499,1.201,120534,277944,3
omp_private,32,1,0.000219,1.000,1.000,0.000000,0.000,7148,18464,3
omp_private,32,2,0.000223,0.982,0.491,0.000227,1.037,7148,18464,3
omp_private,32,4,0.000344,0.637,0.159,0.001157,5.283,7148,18464,3
omp_private,64,1,0.000482,1.000,1.000,0.000000,0.000,29608,70996,3
omp_private,64,2,0.000584,0.825,0.413,0.000686,1.423,29608,70996,3
omp_private,64,4,0.000690,0.699,0.175,0.002278,4.726,29608,70996,3
omp_private,128,1,0.003016,1.000,1.000,0.000000,0.000,120534,277944,3
omp_private,128,2,0.002748,1.098,0.549,0.002480,0.822,120534,277944,3
omp_private,128,4,0.002948,1.023,0.256,0.008776,2.910,120534,277944,3
