mesh,resolution,processes,repeat,triangles,occupied_voxels,tested_voxels,estimated_flops,load_seconds,voxel_seconds,estimated_flops_per_second,speedup,efficiency
models/stanford_bunny.ply,32,1,1,69451,4504,129319,387957,0.033030,0.010555,36755755.57,1.002305,1.002305
models/stanford_bunny.ply,32,1,2,69451,4504,129319,387957,0.031489,0.010475,37036467.78,1.009960,1.009960
models/stanford_bunny.ply,32,1,3,69451,4504,129319,387957,0.032312,0.010708,36230575.27,0.987984,0.987984
models/stanford_bunny.ply,32,2,1,69451,4504,129319,387957,0.031443,0.005439,71328736.90,1.945088,0.972544
models/stanford_bunny.ply,32,2,2,69451,4504,129319,387957,0.031779,0.005475,70859726.03,1.932298,0.966149
models/stanford_bunny.ply,32,2,3,69451,4504,129319,387957,0.031990,0.005481,70782156.54,1.930183,0.965092
models/stanford_bunny.ply,32,4,1,69451,4504,129319,387957,0.032244,0.002805,138309090.91,3.771598,0.942900
models/stanford_bunny.ply,32,4,2,69451,4504,129319,387957,0.032968,0.002833,136942110.84,3.734322,0.933580
models/stanford_bunny.ply,32,4,3,69451,4504,129319,387957,0.032574,0.002826,137281316.35,3.743572,0.935893
models/stanford_bunny.ply,32,8,1,69451,4504,129319,387957,0.039320,0.002464,157450081.17,4.293561,0.536695
models/stanford_bunny.ply,32,8,2,69451,4504,129319,387957,0.043514,0.003295,117741122.91,3.210723,0.401340
models/stanford_bunny.ply,32,8,3,69451,4504,129319,387957,0.038999,0.002529,153403321.47,4.183208,0.522901
models/stanford_bunny.ply,64,1,1,69451,20394,216667,650001,0.031481,0.011115,58479622.13,1.001290,1.001290
models/stanford_bunny.ply,64,1,2,69451,20394,216667,650001,0.031783,0.011133,58385071.41,0.999671,0.999671
models/stanford_bunny.ply,64,1,3,69451,20394,216667,650001,0.032500,0.011140,58348384.20,0.999042,0.999042
models/stanford_bunny.ply,64,2,1,69451,20394,216667,650001,0.031446,0.006032,107758786.47,1.845049,0.922524
models/stanford_bunny.ply,64,2,2,69451,20394,216667,650001,0.031279,0.005756,112925816.54,1.933519,0.966759
models/stanford_bunny.ply,64,2,3,69451,20394,216667,650001,0.033124,0.005959,109078872.29,1.867651,0.933826
models/stanford_bunny.ply,64,4,1,69451,20394,216667,650001,0.032181,0.003131,207601724.69,3.554562,0.888640
models/stanford_bunny.ply,64,4,2,69451,20394,216667,650001,0.032412,0.003113,208802120.14,3.575115,0.893779
models/stanford_bunny.ply,64,4,3,69451,20394,216667,650001,0.031443,0.003185,204081946.62,3.494296,0.873574
models/stanford_bunny.ply,64,8,1,69451,20394,216667,650001,0.032098,0.003632,178965033.04,3.064244,0.383030
models/stanford_bunny.ply,64,8,2,69451,20394,216667,650001,0.044834,0.002921,222526874.36,3.810111,0.476264
models/stanford_bunny.ply,64,8,3,69451,20394,216667,650001,0.032059,0.003061,212349232.28,3.635849,0.454481
models/stanford_bunny.ply,96,1,1,69451,50563,336146,1008438,0.030818,0.011813,85366799.29,0.999605,0.999605
models/stanford_bunny.ply,96,1,2,69451,50563,336146,1008438,0.031106,0.011832,85229716.02,0.998000,0.998000
models/stanford_bunny.ply,96,1,3,69451,50563,336146,1008438,0.030943,0.011780,85605942.28,1.002405,1.002405
models/stanford_bunny.ply,96,2,1,69451,50563,336146,1008438,0.031759,0.006726,149931311.33,1.755625,0.877812
models/stanford_bunny.ply,96,2,2,69451,50563,336146,1008438,0.031839,0.006665,151303525.88,1.771693,0.885846
models/stanford_bunny.ply,96,2,3,69451,50563,336146,1008438,0.031547,0.006741,149597685.80,1.751718,0.875859
models/stanford_bunny.ply,96,4,1,69451,50563,336146,1008438,0.032626,0.003862,261118073.54,3.057569,0.764392
models/stanford_bunny.ply,96,4,2,69451,50563,336146,1008438,0.031870,0.003823,263781846.72,3.088761,0.772190
models/stanford_bunny.ply,96,4,3,69451,50563,336146,1008438,0.031652,0.003908,258044524.05,3.021580,0.755395
models/stanford_bunny.ply,96,8,1,69451,50563,336146,1008438,0.039657,0.004434,227433017.59,2.663133,0.332892
models/stanford_bunny.ply,96,8,2,69451,50563,336146,1008438,0.042152,0.004653,216728562.22,2.537789,0.317224
models/stanford_bunny.ply,96,8,3,69451,50563,336146,1008438,0.046834,0.004641,217288946.35,2.544351,0.318044
models/stanford_bunny.ply,128,1,1,69451,97545,489282,1467846,0.030559,0.012884,113927817.45,1.001268,1.001268
models/stanford_bunny.ply,128,1,2,69451,97545,489282,1467846,0.031700,0.012897,113812979.76,1.000258,1.000258
models/stanford_bunny.ply,128,1,3,69451,97545,489282,1467846,0.031198,0.012920,113610371.52,0.998478,0.998478
models/stanford_bunny.ply,128,2,1,69451,97545,489282,1467846,0.031977,0.007435,197423806.32,1.735082,0.867541
models/stanford_bunny.ply,128,2,2,69451,97545,489282,1467846,0.031519,0.007386,198733549.96,1.746593,0.873296
models/stanford_bunny.ply,128,2,3,69451,97545,489282,1467846,0.032141,0.007408,198143358.53,1.741406,0.870703
models/stanford_bunny.ply,128,4,1,69451,97545,489282,1467846,0.032278,0.004396,333904913.56,2.934562,0.733640
models/stanford_bunny.ply,128,4,2,69451,97545,489282,1467846,0.032184,0.004490,326914476.61,2.873125,0.718281
models/stanford_bunny.ply,128,4,3,69451,97545,489282,1467846,0.032854,0.006241,235194039.42,2.067030,0.516757
models/stanford_bunny.ply,128,8,1,69451,97545,489282,1467846,0.040855,0.005028,291934367.54,2.565699,0.320712
models/stanford_bunny.ply,128,8,2,69451,97545,489282,1467846,0.032037,0.007778,188717665.21,1.658567,0.207321
models/stanford_bunny.ply,128,8,3,69451,97545,489282,1467846,0.034314,0.005638,260348705.21,2.288105,0.286013
